Disease,Symptoms
Abscess,redness
Abscess,testicular pain
Abscess,swelling
Abscess,"redness, testicular pain"
Abscess,"redness, swelling"
Abscess,"swelling, testicular pain"
Abscess,"redness, swelling, testicular pain"
Acquired Capillary Haemangioma of Eyelid,raised red blue lesion
Acquired Immuno Deficiency Syndrome,flu like illness
Acute encephalitis syndrome,vomiting
Acute encephalitis syndrome,fever
Acute encephalitis syndrome,headache
Acute encephalitis syndrome,confusion
Acute encephalitis syndrome,stiff neck
Acute encephalitis syndrome,"fever, vomiting"
Acute encephalitis syndrome,"headache, vomiting"
Acute encephalitis syndrome,"confusion, vomiting"
Acute encephalitis syndrome,"stiff neck, vomiting"
Acute encephalitis syndrome,"fever, headache"
Acute encephalitis syndrome,"confusion, fever"
Acute encephalitis syndrome,"fever, stiff neck"
Acute encephalitis syndrome,"confusion, headache"
Acute encephalitis syndrome,"headache, stiff neck"
Acute encephalitis syndrome,"confusion, stiff neck"
Acute encephalitis syndrome,"fever, headache, vomiting"
Acute encephalitis syndrome,"confusion, fever, vomiting"
Acute encephalitis syndrome,"fever, stiff neck, vomiting"
Acute encephalitis syndrome,"confusion, headache, vomiting"
Acute encephalitis syndrome,"headache, stiff neck, vomiting"
Acute encephalitis syndrome,"confusion, stiff neck, vomiting"
Acute encephalitis syndrome,"confusion, fever, headache"
Acute encephalitis syndrome,"fever, headache, stiff neck"
Acute encephalitis syndrome,"confusion, fever, stiff neck"
Acute encephalitis syndrome,"confusion, headache, stiff neck"
Acute encephalitis syndrome,"confusion, fever, headache, vomiting"
Acute encephalitis syndrome,"fever, headache, stiff neck, vomiting"
Acute encephalitis syndrome,"confusion, fever, stiff neck, vomiting"
Acute encephalitis syndrome,"confusion, headache, stiff neck, vomiting"
Acute encephalitis syndrome,"confusion, fever, headache, stiff neck"
Acute encephalitis syndrome,"confusion, fever, headache, stiff neck, vomiting"
Adult Inclusion Conjunctivitis,scratchiness
Adult Inclusion Conjunctivitis,reddish eye
Adult Inclusion Conjunctivitis,"reddish eye, scratchiness"
Alcohol Abuse and Alcoholism,difficulty cutting
Alcohol Abuse and Alcoholism,acquiring drinking alcohol taking lot time
Alcohol Abuse and Alcoholism,usage resulting problem
Alcohol Abuse and Alcoholism,drinking large amount alcohol long period
Alcohol Abuse and Alcoholism,withdrawal occurring stopping
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, difficulty cutting"
Alcohol Abuse and Alcoholism,"difficulty cutting, usage resulting problem"
Alcohol Abuse and Alcoholism,"difficulty cutting, drinking large amount alcohol long period"
Alcohol Abuse and Alcoholism,"difficulty cutting, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, usage resulting problem"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, drinking large amount alcohol long period"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"drinking large amount alcohol long period, usage resulting problem"
Alcohol Abuse and Alcoholism,"usage resulting problem, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"drinking large amount alcohol long period, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, difficulty cutting, usage resulting problem"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, difficulty cutting, drinking large amount alcohol long period"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, difficulty cutting, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"difficulty cutting, drinking large amount alcohol long period, usage resulting problem"
Alcohol Abuse and Alcoholism,"difficulty cutting, usage resulting problem, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"difficulty cutting, drinking large amount alcohol long period, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, drinking large amount alcohol long period, usage resulting problem"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, usage resulting problem, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"acquiring drinking alcohol taking lot time, drinking large amount alcohol long period, withdrawal occurring stopping"
Alcohol Abuse and Alcoholism,"drinking large amount alcohol long period, usage resulting problem, withdrawal occurring stopping"
