Symptom,Condition,Severity
Headache,Migraine,Moderate
Headache,Tension headache,Mild
Fever,Influenza,Moderate
Fever,Dengue fever,Severe
Joint pain,Rheumatoid arthritis,Severe
Joint pain,Osteoarthritis,Moderate
Skin rash,Eczema,Mild
Skin rash,Psoriasis,Severe
Nausea,Gastroenteritis,Moderate
Nausea,Motion sickness,Mild
Vomiting,Gastroenteritis,Moderate
Vomiting,Food poisoning,Severe
Fatigue,Chronic fatigue syndrome,Severe
Fatigue,Anemia,Mild
Cough,Common cold,Mild
Cough,Pneumonia,Moderate
Shortness of breath,Asthma,Moderate
Shortness of breath,Chronic obstructive pulmonary disease,Severe
Abdominal pain,Gastritis,Moderate
Abdominal pain,Kidney stones,Severe
Chest pain,Angina,Moderate
Chest pain,Heart attack,Severe
Dizziness,Vertigo,Moderate
Dizziness,Orthostatic hypotension,Mild
Sore throat,Strep throat,Moderate
Sore throat,Common cold,Mild
Diarrhea,Gastroenteritis,Severe
Diarrhea,Food poisoning,Moderate
Back pain,Herniated disc,Severe
Back pain,Muscle strain,Moderate
Chest tightness,Asthma,Moderate
Chest tightness,Anxiety,Mild
Fatigue,Fibromyalgia,Severe
Fatigue,Depression,Moderate
Nausea,Morning sickness,Mild
Nausea,Appendicitis,Severe
Vomiting,Morning sickness,Mild
Vomiting,Appendicitis,Severe
Fever,Common cold,Mild
Fever,COVID-19,Severe
Headache,Cluster headache,Severe
Headache,Sinus headache,Mild
Joint pain,Gout,Severe
Joint pain,Fibromyalgia,Moderate
Rash,Contact dermatitis,Mild
Rash,Chickenpox,Severe
Cough,Whooping cough,Severe
Cough,Acute bronchitis,Moderate
Shortness of breath,Pneumothorax,Severe
Shortness of breath,Pulmonary embolism,Moderate
Abdominal pain,Appendicitis,Severe
Abdominal pain,IBS,Moderate
Dizziness,Dehydration,Mild
Dizziness,Migraine,Moderate
Frequent urination,Urinary tract infection,Moderate
Frequent urination,Diabetes mellitus,Severe
Blurred vision,Diabetic retinopathy,Severe
Blurred vision,Eye strain,Mild
Chest pain,Heart attack,Severe
Chest pain,GERD,Moderate
Sweating,Hyperhidrosis,Mild
Sweating,Anxiety,Moderate
Numbness,Tarsal tunnel syndrome,Moderate
Numbness,Peripheral neuropathy,Severe
Loss of appetite,Gastroenteritis,Mild
Loss of appetite,Depression,Moderate
Difficulty sleeping,Insomnia,Moderate
Difficulty sleeping,Sleep apnea,Severe
Skin rash,Eczema,Mild
Skin rash,Psoriasis,Severe
Muscle weakness,Myasthenia gravis,Severe
Muscle weakness,Fibromyalgia,Moderate
Frequent headaches,Tension headache,Mild
Frequent headaches,Migraine,Severe
Abdominal bloating,Irritable bowel syndrome,Moderate
Abdominal bloating,Food intolerance,Mild
Dry cough,Allergic rhinitis,Mild
Dry cough,COVID-19,Severe
Shortness of breath,Asthma,Moderate
Shortness of breath,Pneumonia,Severe
Fatigue,Anemia,Mild
Fatigue,Chronic fatigue syndrome,Severe
Fever,Influenza,Severe
